time,lastnum,result,maximumRoll,maximum,minimum
100,1355,end,4,2030,1225
100,1875,end,2,2020,1370
8,2100,win,7,2100,1930
99,2110,win,98,2110,1615
29,2055,win,28,2055,1760
97,2070,win,96,2070,1615
100,1090,end,0,2010,1090
10,2085,win,9,2085,1810
58,2125,win,57,2125,1530
100,1805,end,69,2050,1730
100,1460,end,14,1980,1250
24,2075,win,23,2075,1775
35,2160,win,34,2160,1840
100,1515,end,0,1930,1245
4,2085,win,3,2085,1920
100,1275,end,2,2020,1275
24,2090,win,23,2090,1820
5,2070,win,4,2070,1925
88,2065,win,87,2065,1560
12,2115,win,11,2115,1850
25,2150,win,24,2150,1900
30,2130,win,29,2130,1715
100,1265,end,0,1990,1190
2,2070,win,1,2070,1930
30,2065,win,29,2065,1700
100,1155,end,0,2010,1155
5,2075,win,4,2075,1920
100,1265,end,0,1930,1200
67,2125,win,66,2125,1735
9,2075,win,8,2075,1870
5,2070,win,4,2070,1930
15,2065,win,14,2065,1900
100,1380,end,16,2035,1260
15,2090,win,14,2090,1910
17,2200,win,16,2200,1900
12,2105,win,11,2105,1840
8,2140,win,7,2140,1880
34,2060,win,33,2060,1730
100,1305,end,1,2020,1065
8,2060,win,7,2060,1880
8,2085,win,7,2085,1940
100,1260,end,0,1930,1170
100,1875,end,0,2010,1470
69,2070,win,68,2070,1675
20,2115,win,19,2115,1910
100,1645,end,2,1960,1235
43,2060,win,42,2060,1690
20,2080,win,19,2080,1800
34,2110,win,33,2110,1750
3,2060,win,2,2060,1930
23,2055,win,22,2055,1780
100,1835,end,97,1935,1375
12,2170,win,11,2170,1910
100,1350,end,0,1990,1240
5,2120,win,4,2120,1890
29,2195,win,28,2195,1750
4,2060,win,3,2060,1890
45,2100,win,44,2100,1675
100,1320,end,0,2010,1210
4,2090,win,3,2090,1950
100,1040,end,1,1950,980
2,2070,win,1,2070,1930
100,1540,end,4,2020,1390
9,2070,win,8,2070,1900
33,2085,win,32,2085,1810
100,1270,end,0,1930,1250
30,2085,win,29,2085,1860
72,2115,win,71,2115,1600
5,2155,win,4,2155,1880
7,2125,win,6,2125,1880
100,1615,end,0,2010,1445
22,2060,win,21,2060,1700
27,2080,win,26,2080,1820
5,2060,win,4,2060,1920
3,2060,win,2,2060,1930
100,1295,end,0,2010,1200
100,1350,end,18,2035,1310
100,1055,end,0,1930,1015
100,1860,end,96,1980,1565
100,1820,end,33,2035,1535
18,2145,win,17,2145,1900
100,1380,end,1,1950,1145
100,1350,end,6,1950,1350
17,2115,win,16,2115,1720
71,2055,win,70,2055,1640
21,2110,win,20,2110,1830
100,1360,end,3,2030,1215
54,2100,win,53,2100,1680
5,2085,win,4,2085,1900
12,2070,win,11,2070,1920
time,lastnum,result,maximumRoll,maximum,minimum
19,2150,win,18,2150,1890
150,960,end,5,2010,890
5,2070,win,4,2070,1890
8,2055,win,7,2055,1900
7,2110,win,6,2110,1920
5,2155,win,4,2155,1880
5,2080,win,4,2080,1940
150,1580,end,3,2010,1470
14,2115,win,13,2115,1880
25,2155,win,24,2155,1880
133,2095,win,132,2095,1430
150,910,end,12,1940,880
43,2065,win,42,2065,1690
46,2115,win,45,2115,1720
9,2070,win,8,2070,1890
41,2085,win,40,2085,1665
53,2070,win,52,2070,1695
29,2060,win,28,2060,1860
3,2095,win,2,2095,1930
46,2075,win,45,2075,1770
4,2090,win,3,2090,1940
3,2100,win,2,2100,1930
14,2055,win,13,2055,1900
19,2105,win,18,2105,1770
13,2060,win,12,2060,1890
67,2070,win,66,2070,1635
46,2060,win,45,2060,1770
8,2085,win,7,2085,1880
8,2060,win,7,2060,1930
49,2215,win,48,2215,1660
13,2085,win,12,2085,1890
5,2080,win,4,2080,1950
150,1640,end,0,1990,1375
150,970,end,2,2010,970
20,2170,win,19,2170,1770
25,2060,win,24,2060,1890
17,2090,win,16,2090,1850
150,1250,end,1,2010,1095
143,2055,win,142,2055,1290
10,2145,win,9,2145,1870
150,1400,end,3,2020,1300
45,2095,win,44,2095,1675
9,2085,win,8,2085,1880
43,2075,win,42,2075,1800
20,2100,win,19,2100,1880
150,950,end,0,1990,950
16,2060,win,15,2060,1870
30,2165,win,29,2165,1790
4,2085,win,3,2085,1930
34,2080,win,33,2080,1600
150,1135,end,1,2010,595
44,2115,win,43,2115,1650
23,2170,win,22,2170,1900
9,2080,win,8,2080,1940
7,2190,win,6,2190,1890
55,2125,win,54,2125,1710
150,1595,end,0,1930,1345
16,2110,win,15,2110,1800
86,2060,win,85,2060,1580
2,2070,win,1,2070,1930
6,2070,win,5,2070,1900
38,2110,win,37,2110,1810
18,2155,win,17,2155,1890
62,2095,win,61,2095,1715
11,2085,win,10,2085,1880
150,1005,end,0,1990,895
7,2125,win,6,2125,1880
12,2105,win,11,2105,1830
19,2180,win,18,2180,1770
9,2110,win,8,2110,1930
7,2140,win,6,2140,1890
8,2160,win,7,2160,1900
2,2070,win,1,2070,1930
21,2130,win,20,2130,1790
8,2060,win,7,2060,1890
150,1580,end,4,2030,850
19,2095,win,18,2095,1900
12,2100,win,11,2100,1910
34,2080,win,33,2080,1610
150,755,end,0,1930,735
26,2065,win,25,2065,1800
